"";"codmun";"nome";"uf";"string";"lat";"lon"
"280";1507805;"Senador José Porfírio";"Pará";"Senador José Porfírio, Pará, Brasil";-4,31241735;-51,5764075015573
"281";1507904;"Soure";"Pará";"Soure, Pará, Brasil";-0,5412052;-48,6701391617392
"282";1507953;"Tailândia";"Pará";"Tailândia, Pará, Brasil";-2,9360959;-48,9523365
"283";1507961;"Terra Alta";"Pará";"Terra Alta, Pará, Brasil";-1,0016253;-47,8507377372369
"284";1507979;"Terra Santa";"Pará";"Terra Santa, Pará, Brasil";-1,9058992;-56,4747559046559
"285";1508001;"Tomé-Açu";"Pará";"Tomé-Açu, Pará, Brasil";-2,4130163;-48,1414868
"286";1508035;"Tracuateua";"Pará";"Tracuateua, Pará, Brasil";-1,0765337;-46,9030821
"287";1508050;"Trairão";"Pará";"Trairão, Pará, Brasil";-4,7005509;-55,9972164
"288";1508084;"Tucumã";"Pará";"Tucumã, Pará, Brasil";-6,7517238;-51,150794
"289";1508100;"Tucuruí";"Pará";"Tucuruí, Pará, Brasil";-3,7740062;-49,6705159
"290";1508126;"Ulianópolis";"Pará";"Ulianópolis, Pará, Brasil";-3,7575265;-47,5009376
"291";1508159;"Uruará";"Pará";"Uruará, Pará, Brasil";-3,718538;-53,7385489
"292";1508209;"Vigia";"Pará";"Vigia, Pará, Brasil";-0,8546026;-48,1432872
"293";1508308;"Viseu";"Pará";"Viseu, Pará, Brasil";-1,2760625;-46,2021376405236
"294";1508357;"Vitória do Xingu";"Pará";"Vitória do Xingu, Pará, Brasil";-3,1722352;-51,8785166612229
"295";1508407;"Xinguara";"Pará";"Xinguara, Pará, Brasil";-7,0998513;-49,9416631
"296";1600105;"Amapá";"Amapá";"Amapá, Amapá, Brasil";1,9695;-50,9747444054945
"297";1600204;"Calçoene";"Amapá";"Calçoene, Amapá, Brasil";2,498;-50,9489999
"298";1600212;"Cutias";"Amapá";"Cutias, Amapá, Brasil";0,9707606;-50,8004684
"299";1600238;"Ferreira Gomes";"Amapá";"Ferreira Gomes, Amapá, Brasil";0,879;-51,2255182823529
"300";1600253;"Itaubal";"Amapá";"Itaubal, Amapá, Brasil";0,6013588;-50,6988362
"301";1600279;"Laranjal do Jari";"Amapá";"Laranjal do Jari, Amapá, Brasil";-0,8419993;-52,5159999
"302";1600303;"Macapá";"Amapá";"Macapá, Amapá, Brasil";0,0460699;-51,0693237
"303";1600402;"Mazagão";"Amapá";"Mazagão, Amapá, Brasil";-0,1149996;-51,2890002
"304";1600501;"Oiapoque";"Amapá";"Oiapoque, Amapá, Brasil";3,843;-51,8349999
"305";1600154;"Pedra Branca do Amapari";"Amapá";"Pedra Branca do Amapari, Amapá, Brasil";1,232;-52,6877677571429
"306";1600535;"Porto Grande";"Amapá";"Porto Grande, Amapá, Brasil";0,6145;-51,7236110111111
"307";1600550;"Pracuúba";"Amapá";"Pracuúba, Amapá, Brasil";1,7430003;-50,7909996
"308";1600600;"Santana";"Amapá";"Santana, Amapá, Brasil";-0,0554259;-51,1767671
"309";1600055;"Serra do Navio";"Amapá";"Serra do Navio, Amapá, Brasil";1,637;-52,2723408090909
"310";1600709;"Tartarugalzinho";"Amapá";"Tartarugalzinho, Amapá, Brasil";1,506;-50,9119996
